Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
Q3,11.200000mm,27.225000mm,Top,0.0,11.200000mm,27.225000mm
Q4,11.200000mm,59.225000mm,Top,0.0,11.200000mm,59.225000mm
Q5,11.200000mm,43.225000mm,Top,0.0,11.200000mm,43.225000mm
Q6,11.200000mm,75.225000mm,Top,0.0,11.200000mm,75.225000mm
Q7,92.500000mm,121.000000mm,Top,180.0,92.500000mm,121.000000mm
R1,61.000000mm,128.500000mm,Top,-90.0,61.000000mm,128.500000mm
R2,2.200000mm,98.225000mm,Top,90.0,2.200000mm,98.225000mm
R3,2.200000mm,114.225000mm,Top,90.0,2.200000mm,114.225000mm
R4,2.200000mm,34.225000mm,Top,90.0,2.200000mm,34.225000mm
R5,44.702000mm,26.614001mm,Top,-90.0,44.702000mm,26.614001mm
R6,74.300000mm,31.400000mm,Top,-90.0,74.300000mm,31.400000mm
R7,2.200000mm,66.225000mm,Top,90.0,2.200000mm,66.225000mm
R8,2.200000mm,50.225000mm,Top,90.0,2.200000mm,50.225000mm
R9,2.200000mm,82.225000mm,Top,90.0,2.200000mm,82.225000mm
R10,7.200000mm,99.225000mm,Top,0.0,7.200000mm,99.225000mm
R11,7.200000mm,115.225000mm,Top,0.0,7.200000mm,115.225000mm
R12,7.200000mm,35.225000mm,Top,0.0,7.200000mm,35.225000mm
R13,7.200000mm,67.225000mm,Top,0.0,7.200000mm,67.225000mm
R14,7.200000mm,51.225000mm,Top,0.0,7.200000mm,51.225000mm
R15,7.200000mm,83.225000mm,Top,0.0,7.200000mm,83.225000mm
R16,87.000000mm,122.500000mm,Top,90.0,87.000000mm,122.500000mm
U1,33.000000mm,24.000000mm,Top,180.0,33.000000mm,24.000000mm
U2,60.900000mm,15.600000mm,Top,180.0,60.900000mm,15.600000mm
